689 9408
1 12 22
1 53 11
1 57 9
1 108 3
1 113 15
1 122 10
1 167 9
1 283 21
1 422 7
1 480 12
1 525 15
1 603 22
1 606 14
1 673 14
1 683 21
2 8 3
2 53 5
2 58 21
2 167 11
2 197 22
2 279 10
2 293 14
2 302 8
2 308 7
2 312 7
2 377 22
2 458 9
2 473 16
2 635 12
2 655 8
3 46 6
3 197 11
3 246 12
3 256 8
3 284 7
3 297 3
3 305 18
3 410 9
3 425 17
3 490 18
3 503 14
3 560 8
3 597 11
4 14 4
4 15 21
4 26 8
4 55 1
4 102 20
4 181 23
4 275 11
4 294 18
4 365 9
4 391 18
4 459 20
4 540 10
4 574 19
4 666 18
5 33 18
5 60 11
5 161 7
5 248 19
5 262 10
5 277 11
5 293 7
5 358 11
5 425 11
5 448 3
5 506 5
5 597 19
5 656 19
5 671 17
6 30 9
6 56 3
6 58 4
6 71 12
6 105 18
6 132 5
6 296 12
6 353 14
6 389 21
6 420 16
6 462 2
6 467 7
6 504 11
6 515 21
6 525 16
6 590 23
6 677 10
7 15 4
7 18 10
7 76 10
7 131 17
7 158 13
7 202 14
7 329 23
7 337 23
7 348 1
7 512 3
7 549 22
7 578 19
7 651 15
8 32 9
8 112 4
8 121 12
8 167 6
8 193 9
8 287 6
8 288 10
8 310 21
8 368 13
8 370 2
8 412 7
8 414 14
8 420 8
8 473 11
8 500 6
8 507 17
9 7 10
9 57 9
9 60 14
9 209 13
9 278 18
9 351 7
9 419 2
9 543 8
9 588 1
9 657 19
9 660 2
9 676 20
10 60 11
10 70 20
10 85 11
10 118 19
10 145 23
10 237 22
10 281 18
10 333 2
10 336 21
10 380 21
10 384 22
10 386 4
10 531 22
10 536 23
10 551 12
10 569 23
10 617 10
10 619 17
10 629 16
11 70 20
11 119 2
11 132 1
11 143 9
11 172 13
11 175 1
11 270 5
11 302 14
11 361 1
11 579 23
11 613 15
11 641 20
12 9 4
12 149 5
12 299 2
12 353 16
12 368 21
12 416 17
12 549 10
12 566 22
12 568 15
13 33 7
13 117 15
13 124 18
13 133 6
13 144 14
13 223 6
13 252 5
13 344 23
13 380 16
13 389 15
13 411 13
13 431 11
13 445 9
13 457 16
13 464 17
13 518 9
14 83 20
14 93 7
14 291 4
14 322 13
14 325 15
14 331 17
14 351 16
14 360 19
14 406 18
14 413 2
14 441 16
14 460 6
14 465 11
14 607 9
14 658 20
15 6 11
15 30 23
15 41 8
15 62 10
15 145 13
15 148 8
15 179 9
15 215 6
15 277 23
15 528 23
16 5 19
16 57 11
16 108 2
16 187 11
16 223 21
16 292 10
16 330 1
16 380 5
16 406 7
16 464 13
16 485 13
16 519 1
17 3 22
17 68 3
17 102 12
17 113 23
17 243 12
17 288 17
17 298 4
17 304 20
17 402 7
17 411 14
17 465 19
17 555 15
17 584 1
17 591 2
17 594 22
17 676 9
17 682 8
18 99 21
18 112 2
18 143 20
18 174 2
18 177 3
18 207 1
18 249 23
18 336 6
18 355 18
18 377 21
18 466 13
18 478 1
19 28 4
19 51 7
19 130 22
19 173 6
19 201 18
19 206 15
19 213 12
19 235 6
19 253 18
19 288 8
19 293 12
19 322 8
19 333 21
19 353 3
19 360 2
19 405 22
19 423 18
19 456 10
19 509 23
19 513 10
19 535 11
19 575 13
19 637 5
20 39 7
20 130 7
20 142 4
20 348 13
20 408 1
20 452 18
20 454 19
20 501 1
20 511 16
20 548 19
20 564 16
20 652 21
21 106 7
21 215 7
21 257 3
21 289 12
21 293 1
21 407 11
21 436 1
21 493 3
21 547 2
21 621 20
22 29 4
22 81 23
22 173 15
22 178 8
22 198 17
22 206 18
22 244 12
22 337 23
22 463 22
22 493 19
22 534 7
22 604 20
22 605 2
22 631 1
23 12 14
