3617 54542
1 166 21
1 517 15
1 531 2
1 617 18
1 669 1
1 726 5
1 1365 13
1 1490 12
1 2350 20
1 2420 5
1 2544 15
1 2572 17
1 2740 5
1 2775 22
1 3198 13
2 336 5
2 606 8
2 964 4
2 1030 22
2 1309 5
2 1356 16
2 1415 21
2 1501 1
2 1570 23
2 1713 3
2 2324 4
2 2478 15
2 2673 21
2 2798 1
2 3227 10
2 3269 1
2 3446 15
3 63 1
3 401 3
3 470 9
3 534 19
3 676 1
3 685 21
3 805 1
3 871 14
3 1116 19
3 1293 16
3 1337 7
3 1670 17
3 1768 8
3 1949 13
3 2227 21
3 2282 15
3 3118 17
3 3452 14
4 77 14
4 213 3
4 337 11
4 513 8
4 552 3
4 813 7
4 943 11
4 1228 11
4 1237 5
4 1925 5
4 2197 21
4 2261 5
4 2529 13
4 2574 15
4 2755 1
4 2838 21
4 2950 4
4 2964 18
4 2984 12
4 3600 5
5 526 9
5 608 7
5 621 14
5 838 9
5 1068 17
5 1939 21
5 2016 22
5 2039 9
5 2731 12
5 2921 9
5 2996 22
5 3072 19
5 3124 11
5 3347 3
5 3429 4
5 3446 7
6 372 10
6 564 8
6 742 18
6 801 8
6 824 13
6 999 9
6 1508 12
6 1828 19
6 2012 23
6 2301 7
6 2588 17
6 3472 4
7 291 1
7 475 22
7 880 2
7 927 3
7 1204 23
7 1568 15
7 1687 12
7 1779 16
7 2426 12
7 2653 10
7 3017 1
8 140 17
8 331 18
8 444 16
8 915 13
8 1459 22
8 1505 13
8 1521 16
8 1933 6
8 1971 22
8 2501 23
8 2946 23
8 3105 23
9 71 6
9 136 8
9 375 11
9 383 2
9 441 1
9 454 11
9 1177 12
9 1477 21
9 1737 12
9 1944 10
9 2319 22
9 2651 14
9 2824 3
9 2844 13
9 2877 19
9 3467 19
9 3584 18
10 90 22
10 826 13
10 885 12
10 1266 10
10 1998 6
10 2096 1
10 2311 9
10 2479 18
10 2618 10
10 2913 8
10 3137 10
10 3163 3
10 3222 7
11 593 9
11 917 9
11 1121 8
11 1144 13
11 1277 4
11 1694 8
11 1721 18
11 1829 15
11 2761 23
11 2800 6
11 2889 18
11 3584 21
11 3610 13
12 17 21
12 144 5
12 452 3
12 717 16
12 1082 22
12 1087 1
12 1100 22
12 1155 4
12 1356 11
12 1429 21
12 1496 21
12 1506 13
12 1815 9
12 1915 7
12 2194 20
12 2659 18
12 2803 4
12 2878 3
12 3050 20
12 3097 12
12 3105 4
13 41 4
13 106 15
13 209 5
13 934 21
13 1667 23
13 1812 4
13 1892 20
13 2428 17
13 2502 19
13 3051 9
13 3275 14
13 3353 17
13 3501 11
14 16 23
14 166 9
14 307 6
14 417 22
14 654 13
14 816 16
14 976 19
14 1040 4
14 1061 5
14 1377 5
14 1869 5
14 1954 1
14 1997 16
14 2099 8
14 2642 20
14 2849 7
14 2945 19
14 3120 23
14 3125 10
14 3216 4
15 119 4
15 127 1
15 192 20
15 275 2
15 641 20
15 1901 13
