356 3252
1 14 9
1 48 6
1 49 2
1 95 21
1 154 23
1 192 20
1 220 7
1 226 12
1 232 18
1 264 10
1 317 6
1 336 4
2 44 12
2 55 22
2 80 17
2 94 22
2 106 5
2 117 12
2 132 8
2 201 10
2 219 6
2 226 21
2 262 18
2 309 11
3 15 6
3 68 11
3 93 8
3 123 3
3 185 14
3 205 13
3 303 18
3 335 17
4 58 18
4 131 13
4 151 14
4 160 12
4 187 9
4 209 14
4 210 23
4 296 20
4 327 17
5 21 22
5 102 17
5 165 6
5 231 20
5 252 11
5 261 4
5 274 19
5 348 16
6 11 5
6 19 22
6 21 15
6 67 2
6 81 16
6 134 2
6 152 2
6 186 4
6 200 9
6 209 4
6 214 11
6 239 16
6 240 15
6 262 4
6 270 4
6 320 4
6 354 12
7 2 15
7 77 6
7 81 2
7 114 8
7 115 20
7 135 19
7 171 7
7 184 13
7 232 18
8 29 20
8 53 17
8 149 15
8 175 15
8 222 9
8 229 20
8 249 13
8 275 23
8 323 15
8 351 23
9 33 1
9 34 16
9 58 3
9 90 4
9 109 20
9 113 7
9 134 13
9 188 11
9 301 11
9 342 16
10 58 9
10 95 16
10 96 2
10 123 8
10 196 17
10 280 9
10 297 4
10 325 6
10 332 9
11 33 11
11 62 17
11 85 23
11 151 4
11 178 9
11 309 14
11 328 13
11 348 5
12 10 21
12 96 6
12 110 19
12 136 20
12 184 7
12 195 6
12 267 16
12 273 4
12 327 2
12 334 22
13 70 16
13 94 6
13 146 3
13 162 8
13 301 8
13 349 18
14 41 3
14 95 16
14 107 6
14 206 6
14 249 19
15 104 11
15 111 14
15 214 6
15 240 22
15 267 13
16 8 10
16 35 7
16 123 21
16 177 16
16 186 5
16 190 12
16 215 21
16 223 17
16 239 8
16 243 21
16 275 22
16 282 17
16 289 18
16 324 17
17 2 15
17 36 10
17 55 17
17 95 18
17 112 12
17 136 1
17 138 6
17 211 14
17 231 16
17 267 11
17 348 19
18 32 12
18 98 16
18 143 4
18 172 11
18 183 14
18 258 10
18 306 14
18 334 20
18 339 7
19 68 6
19 86 1
19 115 12
19 201 21
19 206 17
19 318 19
20 83 18
20 93 10
20 222 6
20 271 13
20 318 3
21 63 21
21 74 16
21 105 19
21 207 9
21 249 4
21 276 14
21 331 14
21 355 12
22 64 6
22 90 19
22 112 1
22 194 11
22 209 11
22 301 4
22 332 22
23 7 1
23 11 14
23 64 12
23 71 14
23 84 14
23 100 12
23 120 8
23 205 3
23 265 9
23 320 18
23 352 15
24 205 20
24 297 4
24 299 21
24 308 3
24 321 1
24 349 12
25 74 19
25 87 13
25 155 14
25 283 16
25 338 3
26 43 21
26 49 4
26 52 9
26 147 16
26 161 5
26 177 13
26 279 3
26 301 2
27 6 11
27 44 20
27 56 9
27 141 17
27 217 10
27 278 17
27 300 22
28 13 11
28 34 19
28 50 1
28 119 6
28 145 4
28 162 20
28 176 3
28 231 18
28 256 17
28 280 3
28 355 6
29 15 6
29 22 16
29 53 13
29 56 21
29 69 12
29 108 11
29 132 19
29 135 14
29 156 3
29 247 17
29 331 4
30 12 23
30 24 12
30 76 8
30 98 19
30 106 21
30 164 1
30 241 23
30 290 14
31 19 16
31 26 10
31 72 3
31 135 16
31 165 9
31 215 6
31 312 13
31 316 12
32 4 18
32 56 23
32 148 14
32 180 23
32 248 5
32 252 23
32 253 13
32 259 19
32 301 6
33 6 23
33 16 14
33 34 19
33 109 19
33 133 1
33 154 22
33 173 18
33 261 13
33 279 7
33 315 14
33 321 10
34 4 1
34 36 7
34 42 17
34 52 17
34 117 16
34 118 19
34 198 9
34 220 2
34 284 18
34 302 15
34 305 7
35 7 12
35 17 14
35 39 14
35 52 6
35 78 12
35 209 14
35 229 12
35 333 8
36 26 13
36 35 5
36 51 15
36 55 8
36 119 23
36 146 16
36 155 1
36 205 12
36 244 5
36 269 7
36 331 19
37 133 8
37 203 7
37 206 2
37 231 18
37 335 17
37 342 11
38 8 7
38 147 3
38 215 6
38 356 18
39 7 11
39 29 12
39 44 7
39 52 19
39 54 3
39 148 6
39 171 7
39 225 10
39 327 17
40 10 14
40 51 22
40 99 15
40 160 6
40 191 6
40 233 8
40 247 15
40 309 6
41 3 19
41 162 13
41 175 6
41 187 14
41 216 20
41 233 7
41 239 15
41 248 8
41 269 23
41 330 3
41 335 14
42 182 19
42 290 2
42 320 8
42 351 1
43 134 14
43 225 8
43 240 19
43 287 16
44 59 7
44 66 19
44 92 2
44 95 23
44 106 4
44 196 17
44 199 8
44 242 9
44 259 16
44 305 16
44 316 17
44 340 16
44 344 11
45 3 6
45 58 21
45 83 19
45 100 19
45 126 4
45 161 10
45 195 3
45 209 21
45 223 6
45 261 10
45 314 10
46 43 8
46 79 11
46 148 4
46 151 15
46 161 19
46 191 22
46 220 7
46 295 2
46 315 18
46 347 2
47 2 19
47 57 15
47 101 12
47 140 20
47 147 23
47 187 4
47 218 12
47 235 10
47 258 19
47 298 17
47 305 15
47 346 17
47 347 12
48 4 10
48 46 14
48 125 15
48 192 6
48 251 5
48 258 15
48 343 9
49 13 9
49 16 22
49 69 19
49 84 12
49 131 13
49 188 8
49 196 5
49 224 13
49 228 4
49 230 16
49 260 8
49 291 16
49 303 7
50 169 19
50 264 12
50 287 23
50 297 16
50 307 18
50 311 9
50 340 12
51 106 11
51 130 17
51 132 22
