1213 5257
1 321 13
1 403 12
2 633 21
2 913 17
2 1005 13
2 1082 17
2 1107 8
2 1213 3
3 65 12
3 510 3
3 665 9
3 753 17
3 887 10
3 939 16
3 956 7
3 1066 16
3 1206 4
4 68 18
4 77 12
4 128 5
4 639 5
4 1014 2
4 1027 9
5 114 20
5 186 14
5 358 1
5 434 5
5 494 17
5 683 14
5 1171 4
6 561 2
6 648 20
6 674 16
6 976 16
6 1017 13
6 1123 22
7 69 3
7 119 14
7 438 1
8 258 15
8 574 11
9 87 3
9 158 8
9 174 20
9 349 12
10 39 9
10 611 12
10 738 16
10 761 20
10 872 17
11 73 20
11 305 1
11 443 12
11 937 22
11 1004 14
12 38 3
12 666 17
12 921 18
13 53 19
13 338 7
13 385 22
13 443 14
13 707 20
13 1188 14
14 232 1
15 45 4
15 98 6
15 457 3
15 939 17
15 1020 6
17 539 11
17 570 21
17 842 2
17 1055 13
17 1192 17
18 48 13
18 447 21
18 509 22
18 545 5
18 627 17
18 1110 9
19 229 18
19 1185 11
20 87 21
20 825 17
20 900 1
20 1163 17
21 284 10
21 323 12
21 427 12
22 6 10
22 410 10
22 557 19
23 1108 23
24 639 17
24 877 19
25 786 3
25 986 22
25 1025 16
25 1087 14
25 1097 21
25 1165 3
26 139 11
26 177 22
26 193 15
26 708 22
26 827 12
27 35 6
27 452 14
27 946 10
28 94 16
29 231 23
29 402 5
30 18 3
30 93 14
30 594 15
30 734 20
30 745 1
30 867 18
30 1127 9
30 1195 6
31 448 21
32 145 12
32 370 1
32 704 14
32 800 23
32 898 14
33 397 17
33 1076 15
33 1163 6
34 109 1
34 344 7
34 890 2
34 1033 11
35 102 5
35 213 11
35 1063 9
35 1163 10
36 376 16
36 667 23
36 702 14
36 742 9
36 778 16
36 857 12
37 245 5
37 333 23
37 534 3
37 582 2
37 950 23
37 980 14
37 1002 4
37 1050 5
38 330 5
38 713 9
38 972 22
39 746 18
40 51 2
40 84 12
40 316 11
40 662 11
40 1072 11
41 376 11
41 588 17
41 729 13
41 983 16
41 1081 15
42 182 17
42 319 18
42 341 2
42 814 9
42 1156 17
43 118 9
43 153 11
43 550 3
43 608 20
43 1087 16
44 35 19
44 79 16
44 729 11
44 1013 18
44 1075 23
45 819 8
45 1049 16
45 1095 4
45 1105 10
46 237 9
46 780 21
46 1042 6
47 73 14
47 340 3
47 382 16
47 1056 2
47 1174 7
48 120 9
48 233 8
48 701 22
48 836 23
48 854 1
48 1040 17
49 2 18
49 242 9
49 328 4
49 421 3
49 598 14
49 901 1
50 580 22
50 1113 23
50 1162 19
51 425 8
51 604 4
51 749 8
51 1080 7
52 61 11
52 91 23
52 107 10
52 168 14
52 378 2
52 703 8
52 815 19
52 979 16
52 1090 4
53 3 11
53 905 17
53 1041 4
54 514 13
54 526 1
55 30 20
55 608 13
55 689 18
55 857 13
55 915 7
55 916 20
55 996 10
56 264 4
56 475 10
56 565 10
56 946 19
57 426 9
57 843 23
57 844 4
58 38 12
58 190 7
58 193 10
58 383 16
58 635 23
58 672 20
58 797 7
58 1133 2
59 678 21
60 168 19
60 175 17
60 262 18
60 404 7
61 138 4
61 548 21
61 882 19
61 930 21
61 1016 17
61 1150 2
62 259 15
62 459 23
62 591 3
63 340 11
63 479 10
63 836 6
63 952 21
64 400 13
64 445 1
64 495 23
64 839 12
65 308 21
65 569 6
65 790 18
65 960 8
65 1165 21
66 24 12
66 296 4
66 895 21
66 920 13
66 1007 18
67 11 17
67 161 6
67 194 12
67 724 17
67 732 3
67 973 9
68 39 12
68 49 23
68 454 20
68 597 8
69 199 14
69 331 19
70 88 10
70 417 1
70 598 5
70 725 9
70 886 15
70 1060 12
70 1070 3
70 1081 9
71 14 17
71 171 1
71 275 14
