157 3850
1 5 4
1 6 17
1 15 5
1 21 3
1 26 21
1 48 15
1 59 14
1 60 20
1 65 7
1 71 17
1 73 7
1 74 19
1 84 3
1 91 9
1 106 16
1 111 11
1 113 23
1 124 8
1 131 12
1 140 3
1 151 22
2 5 6
2 9 19
2 11 11
2 30 23
2 37 21
2 51 9
2 62 11
2 63 7
2 67 18
2 69 15
2 76 4
2 80 12
2 82 20
2 95 6
2 98 3
2 122 11
2 134 13
2 136 22
2 139 12
3 1 6
3 6 5
3 9 7
3 15 3
3 22 14
3 26 17
3 31 13
3 40 7
3 48 1
3 51 18
3 63 9
3 69 23
3 70 23
3 80 4
3 82 4
3 85 17
3 95 19
3 100 6
3 107 21
3 121 19
3 130 23
3 134 12
3 135 22
3 138 5
3 147 8
3 148 21
4 3 8
4 8 13
4 9 10
4 14 6
4 23 1
4 38 10
4 46 5
4 62 1
4 67 12
4 73 18
4 81 17
4 98 18
4 102 18
4 108 12
4 122 13
4 127 3
4 130 5
4 135 6
4 137 23
4 149 8
5 15 22
5 21 12
5 56 13
5 61 13
5 64 7
5 72 6
5 79 2
5 80 22
5 104 11
5 106 3
5 109 13
5 115 18
5 123 15
5 124 23
5 151 17
5 153 9
5 155 3
5 157 21
6 1 4
6 6 8
6 12 9
6 14 14
6 32 2
6 46 3
6 50 2
6 52 8
6 53 22
6 61 6
6 74 14
6 76 22
6 98 7
6 105 6
6 108 10
6 119 13
6 126 19
6 134 11
6 148 19
6 149 14
7 18 3
7 20 23
7 24 16
7 33 16
7 37 17
7 38 2
7 41 9
7 45 4
7 52 4
7 53 11
7 64 2
7 66 7
7 87 18
7 99 4
7 101 15
7 105 13
7 111 7
7 138 16
7 157 21
8 8 5
8 9 16
8 15 5
8 22 20
8 38 22
8 43 10
8 44 7
8 48 12
8 53 5
8 54 11
8 58 1
8 61 18
8 63 13
8 70 23
8 90 5
8 93 5
8 103 10
8 109 6
8 111 7
8 115 13
8 117 9
8 126 17
8 129 8
8 135 10
8 152 5
8 157 12
9 8 1
9 17 12
9 26 12
9 30 16
9 36 9
9 40 16
9 44 2
9 49 7
9 65 13
9 67 1
9 85 16
9 97 13
9 99 6
9 108 15
9 110 17
9 117 23
9 124 9
9 133 6
9 141 22
9 142 7
9 147 5
9 153 8
10 3 12
10 8 11
10 11 14
10 14 15
10 19 22
10 35 22
10 37 1
10 38 20
10 58 10
10 61 18
10 80 2
10 81 21
10 84 10
10 96 10
10 100 7
10 109 6
10 110 10
10 118 13
10 133 6
10 135 3
10 144 19
10 145 5
10 151 17
10 154 12
11 9 4
11 12 19
11 13 12
11 20 19
11 29 3
