23 226
1 4 12
1 5 6
1 6 9
1 7 1
1 8 20
1 9 5
1 12 16
1 13 5
1 14 17
1 15 6
1 16 20
1 18 15
1 21 8
1 23 16
2 4 4
2 7 17
2 8 3
2 10 20
2 12 7
2 16 13
2 18 7
2 20 19
2 23 8
3 1 18
3 5 2
3 10 17
3 11 17
3 12 11
3 13 14
3 14 15
3 15 11
3 16 5
3 23 1
4 1 11
4 4 17
4 6 12
4 8 15
4 10 5
4 13 16
4 14 3
4 16 10
4 18 8
4 19 17
4 20 9
5 3 15
5 4 12
5 6 5
5 7 18
5 8 4
5 9 11
5 10 10
5 11 10
5 13 2
5 15 10
5 16 8
5 18 3
5 19 18
5 21 16
5 22 5
6 2 12
6 9 11
6 11 7
6 14 8
6 16 3
6 19 17
6 22 5
6 23 6
7 3 4
7 4 9
7 7 2
7 12 6
7 13 10
7 17 1
8 1 15
8 3 18
8 4 15
8 5 18
8 6 3
8 9 4
8 12 13
8 13 5
8 18 6
8 21 3
9 1 18
9 4 15
9 6 2
9 9 20
9 11 12
9 12 9
9 19 17
9 20 3
10 1 11
10 2 15
10 5 11
10 8 13
10 9 12
10 13 7
10 18 19
10 21 7
10 22 15
11 1 12
11 2 12
11 5 4
11 10 4
11 11 18
11 12 13
11 13 18
11 14 16
11 16 15
11 20 2
11 21 20
12 1 12
12 12 19
12 14 2
12 15 9
12 17 13
12 18 15
12 19 1
12 22 16
12 23 4
13 1 9
13 3 11
13 5 14
13 7 3
13 9 13
13 11 19
13 16 14
13 17 19
13 18 9
13 20 20
13 21 13
13 23 12
14 1 4
14 3 8
14 7 15
14 8 13
14 10 20
14 17 4
14 18 8
14 19 7
14 20 17
14 23 8
15 1 10
15 5 15
15 6 1
15 7 18
15 9 19
15 14 8
15 15 18
15 16 15
15 19 3
15 21 6
15 22 5
16 1 8
16 4 1
16 10 9
16 11 18
16 12 6
16 16 7
16 18 18
16 21 18
16 23 19
17 3 9
17 4 1
17 5 18
17 7 15
17 8 13
17 13 9
17 15 19
17 16 13
17 17 15
17 19 15
17 20 12
17 21 4
17 23 2
18 1 4
18 7 14
18 14 20
18 18 3
18 19 3
18 21 14
19 2 5
19 3 1
19 4 10
19 10 13
19 11 1
19 17 18
19 18 2
19 21 6
19 23 4
20 1 20
20 2 3
20 5 14
20 6 20
20 8 15
20 13 3
20 15 15
20 16 8
20 20 12
21 1 5
21 4 12
21 7 18
21 8 19
21 10 15
21 11 14
21 13 12
22 5 18
22 6 7
22 11 12
22 12 1
22 13 1
22 14 17
22 15 17
22 16 1
23 3 19
23 5 1
23 7 1
23 9 16
23 12 3
23 13 7
23 15 12
23 17 14
23 18 1
23 21 17
23 22 13
23 23 16
