24 153
1 12 13
1 22 20
1 23 4
2 2 1
2 17 5
2 21 18
3 1 7
3 8 6
3 12 1
3 16 18
3 17 5
3 18 14
3 19 10
3 24 20
4 6 16
4 12 12
4 14 12
4 17 10
4 22 9
5 4 12
5 6 15
5 8 1
5 10 15
5 12 6
5 15 16
5 16 20
5 19 5
6 9 2
6 11 8
6 13 2
6 15 18
6 17 12
6 18 14
6 19 13
6 23 12
7 3 18
7 6 10
7 7 10
7 11 15
8 11 2
8 14 7
8 15 12
8 16 8
8 18 9
8 21 3
8 24 3
9 5 20
9 7 14
9 9 4
9 10 20
9 15 5
9 16 10
9 20 20
10 2 12
10 3 15
10 7 7
10 12 11
10 13 11
10 15 8
10 16 10
10 17 5
10 21 18
10 22 13
10 23 18
11 5 10
11 9 5
11 10 7
11 14 12
11 15 6
11 18 13
11 19 5
11 22 13
12 1 4
12 10 12
12 18 13
13 1 6
13 9 7
13 14 4
13 16 20
13 18 10
13 19 4
14 10 16
14 11 20
15 5 15
15 12 19
15 14 6
15 17 2
15 21 10
15 24 9
16 2 1
16 3 11
16 4 13
16 7 18
16 8 4
16 9 2
16 12 8
16 18 20
16 24 8
17 3 11
17 5 5
17 9 20
17 10 15
17 12 9
17 16 16
17 17 7
17 24 13
18 5 13
18 7 13
18 13 17
18 14 4
18 15 14
18 17 12
18 21 20
19 3 5
19 16 18
19 24 18
20 3 11
20 5 19
20 10 19
20 16 11
20 22 12
20 24 2
21 2 15
21 4 9
21 7 17
21 8 16
21 16 8
21 17 16
21 19 15
21 21 18
22 8 12
22 9 6
22 15 5
22 16 13
22 21 1
22 23 3
22 24 5
23 1 6
23 3 15
23 4 13
23 8 9
23 9 20
23 12 16
23 13 8
23 14 5
23 16 14
23 20 18
23 21 7
23 24 4
24 6 8
24 11 17
24 16 15
24 20 9
